insert into rezisierius values(1,20);
insert into rezisierius values(2,21);
insert into rezisierius values(3,22);
insert into rezisierius values(4,23);
insert into rezisierius values(5,24);
insert into rezisierius values(6,25);
insert into rezisierius values(7,26);
insert into rezisierius values(8,27);
insert into rezisierius values(9,28);
insert into rezisierius values(10,29);
insert into rezisierius values(11,30);
insert into rezisierius values(12,31);
insert into rezisierius values(13,32);
insert into rezisierius values(14,33);
insert into rezisierius values(15,34);
insert into rezisierius values(16,35);
insert into rezisierius values(17,36);
insert into rezisierius values(18,37);
insert into rezisierius values(19,38);
insert into rezisierius values(20,39);
insert into rezisierius values(21,40);
insert into rezisierius values(22,41);
